State,abs_error_knn,abs_error_lwr
Andhra Pradesh,1.2740008188404246,1.3235131860309972
Bihar,1.4670608675171575,1.4662258805768342
Gujarat,1.4275758463418795,1.4186443790328167
Karnataka,1.2736224460479493,1.2559408927448334
Madhya Pradesh,1.3948801736382646,1.391429633363198
Maharashtra,1.2665551510132076,1.2632031011168916
Odisha,1.2806479621908755,1.2796951108307444
Punjab,1.46809831330511,1.4748368496344526
Rajasthan,1.3643272682472631,1.3387316415351702
Tamil Nadu,1.4191799668186358,1.3489561599798012
