Crop,Crop_Year,Season,State,Area,Annual_Rainfall,Temperature,Humidity,Soil_pH,N,P,K,Fertilizer,Pesticide,Yield,GDD,Rainfall_Anomaly,Temperature_Range,Heat_Stress
Sugarcane,1999,Kharif,Andhra Pradesh,59.33354028843373,635.4560999577676,23.112177849060377,53.24626264560434,6.0408915375194505,114.86978815514256,29.809941788317733,85.75347699300863,5029.589558923696,147.6468001874465,8.884405360742498,1573.4613418872452,-0.1967639303880292,8.0,0
Groundnut,2015,Rabi,Punjab,256.75370118291494,1060.7627361932782,24.796080573312967,67.94300365161357,6.296740654447784,111.50580471954316,61.30238367042023,112.94688322073154,15447.440865734296,608.4532311952923,2.687714439417948,1775.529668797556,0.021003279203899716,8.0,0
Wheat,2012,Summer,Gujarat,420.42418865688336,897.9930817341349,29.483488572967477,54.84595506765157,7.370904682734089,139.95200340650337,50.94960825833788,99.84835073911049,39564.29660235248,1250.9145406562725,4.580424050306037,2338.0186287560973,0.406816852114509,8.0,0
Sugarcane,2007,Rabi,Punjab,1567.3990215867916,905.5324554460968,27.440621241692316,40.20057193279098,6.544801495072592,107.19174257058503,36.38360437744069,83.37406806350684,125727.00729471924,4042.899351571197,8.463013102567434,2092.874549003078,-0.1284086677534703,8.0,0
Sugarcane,2007,Kharif,Maharashtra,6019.091758014099,990.0147001191076,31.206776551704948,40.78023725935907,7.30343416377067,48.91474818936466,43.312784587917456,65.41731949399855,492271.34371373965,6258.5739555223,7.864754475592104,2544.813186204594,-0.1011734778693895,8.0,0
Rice,2017,Whole Year,Gujarat,2665.943325791722,825.1269056296007,26.574939513083123,39.44581423473147,6.971660873222623,98.13075630728832,49.99313040120807,90.63239563578831,195087.18413714983,6536.725234471235,5.068029387611172,1988.992741569975,0.29266300552258445,8.0,0
Rice,1999,Kharif,Madhya Pradesh,435.4478118361222,1303.4807298779294,37.13211441124624,56.49321664592762,5.853378722805081,88.62365709762705,72.11777572110593,147.9171096616848,34513.55488376346,821.8273317223635,3.246132867722145,3255.853729349549,-0.057976204277362706,8.0,1
Wheat,2013,Kharif,Andhra Pradesh,477.710022048585,1106.223097324949,25.314852195371927,61.32551285055041,6.055811307106161,79.77756972581386,39.70464120497915,26.19432040826212,14535.923916759672,914.275861511652,5.008925356361131,1837.782263444631,0.3983000444369505,8.0,0
Groundnut,2001,Rabi,Punjab,659.3875247819427,1015.558309271442,22.968600724145624,51.3005570961108,5.954705823787485,146.9036835096721,53.86829856593793,80.4672548026487,38317.30217135982,2096.3591663461957,3.274033804061113,1556.2320868974748,-0.022506797599245794,8.0,0
Cotton,1999,Kharif,Karnataka,2884.8787881926023,768.1405885490115,24.948569245256667,44.21406527494498,6.85653682868404,93.1746878416,34.2571212922582,79.50083763525268,284951.88920339185,5482.384363288475,4.031681393293089,1793.8283094308001,0.3737610582552556,8.0,0
Cotton,2009,Summer,Karnataka,3177.033363405819,626.8427627772032,24.42058465442805,43.875207698363,7.648521184472587,93.7414462573197,25.328909347823448,76.13805745384937,249613.8940309512,6591.611689792123,2.4980597870066767,1730.4701585313662,0.12106063654227368,8.0,0
Maize,2020,Rabi,Bihar,2027.2687358156115,779.9872648916455,27.277117030796404,46.558460596183366,6.695221697796542,107.47569856921186,78.1430461615615,112.60936448017296,170985.531456246,2552.910229648763,4.156159470980874,2073.2540436955687,0.19596237448858295,8.0,0
Maize,2014,Whole Year,Karnataka,1001.208231038723,526.0697991167262,19.912725101687688,47.35919000781972,6.540940404382433,121.75487015208984,35.511406645646275,104.8653919772456,77682.78301005023,2015.9193815234944,2.9228865166778686,1189.5270122025224,-0.05916414947386323,8.0,0
